,Blank,Blank1,Ground,Inns,Opposition,Overs,RPO,Result,Score,Start Date,Team
1454,,v Australia,22 Jun 2010,2,Southampton,46.0,5.82,won,268/6,,England
1455,,v Sri Lanka,24 Jun 2010,1,Dambulla,50.0,5.36,won,268/6,,India
1456,,v South Africa,17 Oct 2010,1,Potchefstroom,48.2,5.54,lost,268,,Zimbabwe
1457,,v New Zealand,3 Feb 2011,1,Hamilton,50.0,5.36,won,268/9,,Pakistan
1458,,v West Indies,20 Mar 2011,1,Chennai,49.1,5.45,won,268,,India
1459,,v Sri Lanka,9 Jul 2011,1,Manchester,50.0,5.36,won,268/9,,England
1460,,v Netherlands,9 Jul 2013,1,Amstelveen,50.0,5.36,tied,268/5,,Ireland
1461,,v Ireland,9 Jul 2013,2,Amstelveen,50.0,5.36,tied,268/9,,Netherlands
1462,,v Pakistan,11 Nov 2013,1,Sharjah,50.0,5.36,won,268/7,,South Africa
1463,,v New Zealand,19 Jan 2014,2,Napier,48.4,5.50,lost,268,,India
1464,,v Australia,14 Nov 2014,2,Perth,48.1,5.56,lost,268,,South Africa
1465,,v South Africa,21 Nov 2014,2,Melbourne,49.0,5.46,won,268/7,,Australia
1466,,v Pakistan,29 May 2015,1,Lahore,50.0,5.36,lost,268/7,,Zimbabwe
1467,,v Zimbabwe,11 Oct 2015,1,Harare,50.0,5.36,lost,268/7,,Ireland
1468,,v Pakistan,13 Jan 2017,1,Brisbane,50.0,5.36,won,268/9,,Australia
1469,,v New Zealand,9 Jun 2017,2,Cardiff,47.2,5.66,won,268/5,,Bangladesh
1470,,v Pakistan,11 Jun 1975,2,Birmingham,59.4,4.47,won,267/9,,West Indies
1471,,v New Zealand,15 Jan 1983,1,Brisbane,50.0,5.34,won,267/6,,England
1472,,v Sri Lanka,17 Jan 1985,1,Sydney,50.0,5.34,won,267/3,,West Indies
1473,,v Sri Lanka,8 Oct 1987,1,Hyderabad (Sind),50.0,5.34,won,267/6,,Pakistan
1474,,v Pakistan,4 Nov 1987,1,Lahore,50.0,5.34,won,267/8,,Australia
1475,,v New Zealand,27 Mar 1988,1,Sharjah,50.0,5.34,won,267/6,,India
1476,,v England,5 Mar 1993,2,Gwalior,46.4,5.72,won,267/6,,India
1477,,v Pakistan,29 Oct 1993,1,Sharjah,50.0,5.34,won,267/7,,West Indies
1478,,v New Zealand,3 Feb 1996,1,Napier,50.0,5.34,won,267/7,,Zimbabwe
1479,,,,,,,,,,,
1480,,v South Africa,14 Dec 1996,1,Mumbai,50.0,5.34,won,267/6,,India
1481,,v West Indies,12 Jan 1997,1,Perth,50.0,5.34,lost,267/7,,Australia
1482,,v England,1 Apr 1998,2,Bridgetown,49.5,5.35,won,267/9,,West Indies
1483,,v Australia,7 Feb 1999,2,Melbourne,47.1,5.66,lost,267,,Sri Lanka
1484,,v Pakistan,25 Jan 2000,1,Adelaide,50.0,5.34,won,267/6,,India
1485,,v West Indies,11 Jan 2001,1,Melbourne,50.0,5.34,won,267/6,,Australia
1486,,v New Zealand,2 Aug 2001,2,Colombo (SSC),45.4,5.84,won,267/3,,India
1487,,v Zimbabwe,25 Nov 2001,2,Dhaka,50.0,5.34,lost,267/9,,Bangladesh
1488,,v Australia,3 Apr 2002,1,Durban,50.0,5.34,lost,267/6,,South Africa
1489,,v South Africa,15 Aug 2002,1,Tangier,50.0,5.34,won,267/7,,Sri Lanka
1490,,v South Africa,5 Oct 2003,1,Lahore,50.0,5.34,won,267/7,,Pakistan
1491,,v India,27 Jul 2004,2,Colombo (RPS),50.0,5.34,lost,267/9,,Sri Lanka
1492,,v South Africa,4 Feb 2005,1,Port Elizabeth,50.0,5.34,lost,267/8,,England
1493,,v Africa XI,20 Aug 2005,1,Durban,50.0,5.34,won,267/7,,Asia XI
1494,,v Sri Lanka,14 Feb 2006,2,Brisbane,45.3,5.86,won,267/1,,Australia
1495,,v Sri Lanka,5 Feb 2008,1,Brisbane,50.0,5.34,n/r,267/4,,India
1496,,v Pakistan,24 Jan 2010,1,Sydney,50.0,5.34,won,267/6,,Australia
1497,,v India,19 Jun 2010,1,Dambulla,49.3,5.39,lost,267,,Pakistan
1498,,v England,22 Jun 2010,1,Southampton,50.0,5.34,lost,267/7,,Australia
1499,,v West Indies,11 Dec 2011,1,Chennai,50.0,5.34,won,267/6,,India
1500,,v South Africa,9 Jul 2014,1,Pallekele,49.2,5.41,won,267,,Sri Lanka
1501,,v Australia,21 Nov 2014,1,Melbourne,50.0,5.34,lost,267/8,,South Africa
1502,,v England,7 Dec 2014,2,Colombo (RPS),49.4,5.37,won,267/4,,Sri Lanka
1503,,v Australia,18 Jan 2015,1,Melbourne,50.0,5.34,lost,267/8,,India
1504,,v Afghanistan,18 Feb 2015,1,Canberra,50.0,5.34,won,267,,Bangladesh
1505,,v Australia,22 Jan 2017,2,Sydney,43.5,6.09,lost,267,,Pakistan
1506,,v England,24 May 2017,2,Leeds,45.0,5.93,lost,267,,South Africa
1507,,v India,13 Jul 1974,2,Leeds,51.1,5.19,won,266/6,,England
1508,,v New Zealand,11 Jun 1975,1,Nottingham,60.0,4.43,won,266/6,,England
1509,,v West Indies,11 Jun 1975,1,Birmingham,60.0,4.43,lost,266/7,,Pakistan
1510,,v Zimbabwe,18 Jun 1983,1,Tunbridge Wells,60.0,4.43,won,266/8,,India
1511,,v India,26 Mar 1987,2,Jamshedpur,43.2,6.13,won,266/5,,Pakistan
1512,,v Zimbabwe,30 Oct 1987,1,Cuttack,50.0,5.32,won,266/5,,Australia
1513,,v Australia,4 May 1990,1,Sharjah,50.0,5.32,won,266/7,,Pakistan
1514,,v Zimbabwe,3 Feb 1993,1,Sharjah,43.0,6.18,won,266/5,,Sri Lanka
1515,,v Pakistan,20 Apr 1994,2,Sharjah,50.0,5.32,lost,266/7,,New Zealand
1516,,v Pakistan,12 Jan 1995,1,Johannesburg,50.0,5.32,won,266/5,,South Africa
1517,,v India,7 Apr 1995,1,Sharjah,50.0,5.32,won,266/9,,Pakistan
1518,,v Sri Lanka,12 Jan 1996,1,Perth,50.0,5.32,won,266/6,,Australia
1519,,v India,17 Sep 1996,2,Toronto,49.5,5.33,won,266/8,,Pakistan
1520,,v Pakistan,30 Sep 1997,2,Karachi,46.3,5.72,won,266/6,,India
1521,,v West Indies,1 Apr 1998,1,Bridgetown,50.0,5.32,lost,266,,England
1522,,v Sri Lanka,5 Apr 1998,1,Johannesburg,50.0,5.32,won,266/8,,South Africa
1523,,v Pakistan,12 Apr 2001,1,Sharjah,50.0,5.32,lost,266/7,,New Zealand
1524,,v Zimbabwe,23 Jun 2001,1,Harare,50.0,5.32,won,266/5,,West Indies
1525,,v Bangladesh,2 Dec 2002,1,Dhaka,50.0,5.32,won,266/4,,West Indies
1526,,v Australia,26 Jan 2004,2,Adelaide,50.0,5.32,lost,266/8,,Zimbabwe
1527,,v West Indies,10 Jul 2004,1,Lord's,49.2,5.39,won,266,,New Zealand
1528,,v England,23 Jun 2005,1,Chester-le-Street,50.0,5.32,won,266/5,,Australia
1529,,v Pakistan,11 Feb 2006,2,Rawalpindi,43.1,6.16,won,266/3,,India
1530,,,,,,,,,,,
1531,,v Australia,14 Feb 2006,1,Brisbane,50.0,5.32,lost,266/9,,Sri Lanka
1532,,v Zimbabwe,14 May 2006,1,Port of Spain,50.0,5.32,won,266/8,,West Indies
1533,,v Ireland,30 Mar 2007,1,Providence,50.0,5.32,won,266/7,,England
1534,,v West Indies,1 Feb 2008,2,Durban,47.5,5.56,won,266/5,,South Africa
1535,,v England,28 Jun 2008,1,Lord's,50.0,5.32,won,266/5,,New Zealand
1536,,v Zimbabwe,15 Oct 2009,1,Harare,50.0,5.32,won,266/9,,Kenya
1537,,v Pakistan,26 Feb 2011,2,Colombo (RPS),50.0,5.32,lost,266/9,,Sri Lanka
1538,,v South Africa,17 Jan 2012,1,Bloemfontein,50.0,5.32,lost,266/9,,Sri Lanka
1539,,v West Indies,3 Feb 2013,1,Perth,50.0,5.32,won,266/7,,Australia
1540,,v Ireland,23 May 2013,1,Dublin,47.0,5.65,tied,266/5,,Pakistan
1541,,v Pakistan,8 Nov 2013,1,Abu Dhabi,50.0,5.32,won,266/5,,South Africa
1542,,v West Indies,27 Nov 2013,2,Kanpur,46.1,5.76,won,266/5,,India
1543,,v Netherlands,23 Jan 2014,2,Lincoln,35.4,7.45,won,266/6,,Kenya
1544,,v South Africa,25 Jan 2015,2,Port Elizabeth,48.3,5.48,won,266/9,,West Indies
1545,,v England,12 Feb 2016,2,Johannesburg,47.2,5.61,won,266/9,,South Africa
1546,,v Australia,13 Jun 2016,2,Basseterre,45.4,5.82,won,266/6,,West Indies
1547,,v Hong Kong,10 Sep 2016,1,Edinburgh,50.0,5.32,won,266/7,,Scotland
1548,,v New Zealand,31 Mar 1974,1,Christchurch,35.0x8,5.67,won,265/5,,Australia
1549,,v England,13 Jul 1974,1,Leeds,53.5,4.92,lost,265,,India
1550,,v New Zealand,23 Apr 1985,1,Bridgetown,49.0,5.40,won,265/3,,West Indies
1551,,v Pakistan,26 Mar 1987,1,Jamshedpur,44.0,6.02,lost,265/3,,India
1552,,v West Indies,18 Mar 1988,2,Port of Spain,43.3,6.09,lost,265,,Pakistan
1553,,v England,27 Oct 1989,1,Gwalior,50.0,5.30,won,265/5,,West Indies
1554,,v West Indies,27 May 1991,2,Lord's,46.1,5.74,won,265/3,,England
1555,,v Zimbabwe,14 Mar 1992,1,Hobart,46.0,5.76,won,265/6,,Australia
1556,,v India,5 Mar 1993,1,Gwalior,48.0,5.52,lost,265/4,,England
1557,,v Australia,20 Feb 1994,1,Centurion,50.0,5.30,won,265/5,,South Africa
1558,,v England,5 Mar 1994,1,Port of Spain,45.4,5.80,won,265/7,,West Indies
1559,,v South Africa,11 Jan 1996,2,Bloemfontein,48.2,5.48,won,265/5,,England
1560,,v India,30 Sep 1997,1,Karachi,47.2,5.59,lost,265/4,,Pakistan
1561,,v India,28 May 1998,1,Gwalior,50.0,5.30,won,265/5,,Kenya
1562,,v Pakistan,23 May 1999,2,Leeds,49.5,5.31,lost,265,,Australia
1563,,v Australia,7 Oct 2000,1,Nairobi (Gym),50.0,5.30,won,265/9,,India
1564,,v Zimbabwe,9 Oct 2000,1,Nairobi (Gym),50.0,5.30,won,265/7,,New Zealand
1565,,v India,15 Oct 2000,2,Nairobi (Gym),49.4,5.33,won,265/6,,New Zealand
1566,,v Zimbabwe,22 Oct 2000,1,Sharjah,50.0,5.30,won,265/8,,India
1567,,v Australia,6 Apr 2001,1,Margao,50.0,5.30,lost,265/6,,India
1568,,v Zimbabwe,7 Oct 2001,2,Harare,47.3,5.57,won,265/6,,England
1569,,v Pakistan,18 Dec 2002,1,Cape Town,50.0,5.30,won,265/8,,South Africa
1570,,v South Africa,28 Jun 2003,2,The Oval,45.5,5.78,won,265/4,,England
1571,,v South Africa,20 Aug 2004,2,Colombo (RPS),49.0,5.40,won,265/7,,Sri Lanka
1572,,v Pakistan,30 Jan 2005,1,Perth,50.0,5.30,lost,265,,Australia
1573,,v India,11 Feb 2006,1,Rawalpindi,49.2,5.37,lost,265,,Pakistan
1574,,v England,24 Jun 2006,2,Chester-le-Street,42.2,6.25,won,265/2,,Sri Lanka
1575,,v Sri Lanka,7 Oct 2006,2,Mohali,50.0,5.30,lost,265/9,,Bangladesh
1576,,v Bangladesh,28 Feb 2007,2,St John's,50.0,5.30,lost,265/7,,Canada
1577,,v South Africa,20 Oct 2007,1,Lahore,50.0,5.30,won,265/9,,Pakistan
1578,,v India,5 Feb 2009,2,Colombo (RPS),48.0,5.52,lost,265,,Sri Lanka
1579,,v England,20 Sep 2010,1,Lord's,50.0,5.30,won,265/7,,Pakistan
1580,,v India,21 Jan 2011,1,Port Elizabeth,50.0,5.30,won,265/7,,South Africa
1581,,,,,,,,,,,
1582,,v New Zealand,18 Mar 2011,1,Mumbai,50.0,5.30,won,265/9,,Sri Lanka
1583,,v India,8 Dec 2011,2,Indore,49.2,5.37,lost,265,,West Indies
1584,,v New Zealand,29 Oct 2013,1,Dhaka,49.5,5.31,won,265,,Bangladesh
1585,,v Kenya,23 Jan 2014,1,Lincoln,50.0,5.30,lost,265/6,,Netherlands
1586,,v India,28 Feb 2014,2,Fatullah,49.2,5.37,won,265/8,,Sri Lanka
1587,,v Sri Lanka,7 Dec 2014,1,Colombo (RPS),50.0,5.30,lost,265,,England
1588,,v Pakistan,31 Jan 2016,2,Auckland,42.4,6.21,won,265/7,,New Zealand
1589,,v West Indies,13 Jun 2016,1,Basseterre,50.0,5.30,lost,265/7,,Australia
1590,,v Afghanistan,19 Jul 2016,1,Belfast,50.0,5.30,won,265/5,,Ireland
1591,,v Afghanistan,25 Sep 2016,1,Dhaka,50.0,5.30,won,265,,Bangladesh
1592,,v Pakistan,19 Jan 2017,2,Perth,45.0,5.88,won,265/3,,Australia
1593,,v Afghanistan,19 Mar 2017,2,Greater Noida,48.3,5.46,won,265/4,,Ireland
1594,,v Bangladesh,9 Jun 2017,1,Cardiff,50.0,5.30,lost,265/8,,New Zealand
1595,,v Australia,11 Dec 1979,1,Sydney,49.0,5.38,won,264/7,,England
1596,,v Pakistan,10 Jan 1984,1,Sydney,50.0,5.28,won,264/8,,Australia
1597,,v Pakistan,6 Feb 1985,1,Christchurch,50.0,5.28,won,264/8,,New Zealand
1598,,v England,27 May 1991,1,Lord's,55.0,4.80,lost,264/9,,West Indies
1599,,v Zimbabwe,29 Feb 1992,1,Brisbane,50.0,5.28,won,264/8,,West Indies
1600,,v New Zealand,21 Mar 1992,2,Auckland,49.0,5.38,won,264/6,,Pakistan
1601,,v Sri Lanka,12 Oct 1995,1,Sharjah,50.0,5.28,won,264/7,,Pakistan
1602,,v South Africa,11 Mar 1996,1,Karachi,50.0,5.28,won,264/8,,West Indies
1603,,v Pakistan,17 Sep 1996,1,Toronto,50.0,5.28,lost,264/6,,India
1604,,v Zimbabwe,3 Nov 1996,1,Peshawar,40.0,6.60,won,264/9,,Pakistan
1605,,v India,24 Aug 1997,1,Colombo (SSC),49.4,5.31,won,264,,Sri Lanka
1606,,v India,19 Apr 1998,1,Sharjah,50.0,5.28,won,264/9,,Australia
1607,,v Sri Lanka,14 Jul 2000,2,Colombo (RPS),50.0,5.28,lost,264/9,,South Africa
1608,,v Zimbabwe,1 Oct 2000,1,Bulawayo,50.0,5.28,lost,264/8,,New Zealand
1609,,v New Zealand,15 Oct 2000,1,Nairobi (Gym),50.0,5.28,lost,264/6,,India
1610,,v India,2 Aug 2001,1,Colombo (SSC),50.0,5.28,lost,264/7,,New Zealand
1611,,v Sri Lanka,9 Jan 2003,2,Sydney,49.3,5.33,lost,264,,Australia
1612,,v Australia,11 Jan 2003,2,Hobart,50.0,5.28,lost,264/7,,England
1613,,v England,28 Jun 2003,1,The Oval,50.0,5.28,lost,264/6,,South Africa
1614,,v South Africa,25 Feb 2004,2,Dunedin,49.0,5.38,won,264/4,,New Zealand
1615,,v New Zealand,26 Feb 2005,1,Auckland,50.0,5.28,won,264/5,,Australia
1616,,v England,22 Mar 2009,1,Providence,50.0,5.28,won,264/8,,West Indies
1617,,v South Africa,9 Apr 2009,2,Cape Town,50.0,5.28,lost,264/7,,Australia
1618,,v New Zealand,1 Feb 2011,2,Napier,49.0,5.38,won,264/8,,Pakistan
1619,,v Australia,13 Mar 2011,2,Bengaluru,50.0,5.28,lost,264/6,,Kenya
1620,,v New Zealand,14 Jul 2012,1,Basseterre,49.5,5.29,won,264,,West Indies
1621,,v New Zealand,25 Jan 2013,2,Potchefstroom,50.0,5.28,won,264/9,,South Africa
1622,,v Sri Lanka,28 Feb 2014,1,Fatullah,50.0,5.28,lost,264/9,,India
1623,,v Zimbabwe,22 Jul 2014,2,Bulawayo,49.4,5.31,won,264/8,,Afghanistan
1624,,v Hong Kong,9 Nov 2014,2,Townsville,49.2,5.35,won,264/7,,P.N.G.
1625,,v India,22 Oct 2015,2,Chennai,50.0,5.28,lost,264/9,,South Africa
1626,,v New Zealand,9 Dec 2016,1,Melbourne,50.0,5.28,won,264/8,,Australia
1627,,v New Zealand,26 Dec 2016,2,Christchurch,44.5,5.88,lost,264,,Bangladesh
1628,,v Ireland,19 Mar 2017,1,Greater Noida,50.0,5.28,lost,264/8,,Afghanistan
1629,,v India,17 Dec 1982,1,Multan,40.0,6.57,won,263/2,,Pakistan
1630,,v New Zealand,11 Jan 1986,2,Brisbane,48.0,5.47,won,263/5,,India
1631,,v India,7 Oct 1986,2,Rajkot,46.3,5.65,won,263/3,,Australia
1632,,,,,,,,,,,
1633,,v Pakistan,20 Nov 1987,1,Karachi,44.0,5.97,won,263/6,,England
1634,,v New Zealand,11 Dec 1990,1,Melbourne,50.0,5.26,won,263/7,,Australia
1635,,v England,22 May 1992,2,The Oval,50.5,5.17,lost,263,,Pakistan
1636,,v Zimbabwe,15 Nov 1993,1,Patna,50.0,5.26,won,263/6,,Sri Lanka
1637,,v Zimbabwe,26 Aug 1996,1,Colombo (RPS),50.0,5.26,won,263/7,,Australia
1638,,v New Zealand,9 May 1997,2,Mohali,50.0,5.26,lost,263/9,,Pakistan
1639,,v New Zealand,7 Dec 1997,2,Adelaide,49.4,5.29,won,263/7,,Australia
1640,,v India,28 Oct 1998,2,Dhaka,48.1,5.46,lost,263,,Australia
1641,,v Pakistan,16 Feb 2000,1,Gujranwala,50.0,5.26,won,263/6,,Sri Lanka
1642,,v South Africa,31 Mar 2000,1,Sharjah,50.0,5.26,won,263/6,,Pakistan
1643,,v Pakistan,3 Dec 2003,2,Faisalabad,50.0,5.26,lost,263/7,,New Zealand
1644,,v West Indies,25 Jan 2004,1,Cape Town,50.0,5.26,won,263/4,,South Africa
1645,,v Zimbabwe,29 Jan 2004,1,Melbourne,50.0,5.26,n/r,263/9,,Australia
1646,,v Sri Lanka,20 Aug 2004,1,Colombo (RPS),50.0,5.26,lost,263/9,,South Africa
1647,,v Zimbabwe,1 Dec 2004,1,Harare,50.0,5.26,won,263/6,,England
1648,,v Australia,21 Jan 2005,1,Brisbane,50.0,5.26,n/r,263/9,,West Indies
1649,,v Sri Lanka,9 Aug 2005,2,Colombo (RPS),50.0,5.26,lost,263/9,,India
1650,,v Sri Lanka,24 Jan 2006,1,Adelaide,50.0,5.26,won,263/5,,South Africa
1651,,v Zimbabwe,13 May 2006,1,Port of Spain,50.0,5.26,n/r,263/6,,West Indies
1652,,v England,13 Jun 2006,2,Belfast,50.0,5.26,lost,263/9,,Ireland
1653,,v Sri Lanka,17 Feb 2007,2,Visakhapatnam,41.0,6.41,won,263/3,,India
1654,,v Ireland,9 Apr 2007,1,Providence,50.0,5.26,won,263/8,,New Zealand
1655,,v South Africa,1 Feb 2008,1,Durban,50.0,5.26,lost,263/9,,West Indies
1656,,v Kenya,13 Oct 2009,1,Harare,50.0,5.26,won,263/7,,Zimbabwe
1657,,v India,27 Nov 2013,1,Kanpur,50.0,5.26,lost,263/5,,West Indies
1658,,v West Indies,11 Oct 2014,1,Delhi,50.0,5.26,won,263/7,,India
1659,,v South Africa,6 Feb 2016,2,Port Elizabeth,46.2,5.67,won,263/5,,England
1660,,v Australia,19 Jan 2017,1,Perth,50.0,5.26,lost,263/7,,Pakistan
1661,,v West Indies,9 Jun 1983,1,Manchester,60.0,4.36,won,262/8,,India
1662,,v Australia,24 Feb 1985,1,Melbourne,50.0,5.24,won,262/6,,Pakistan
1663,,v India,26 Jan 1986,1,Adelaide,50.0,5.24,won,262/8,,Australia
1664,,v India,25 Oct 1991,1,Sharjah,50.0,5.24,won,262/6,,Pakistan
1665,,v West Indies,14 Dec 1991,1,Adelaide,50.0,5.24,won,262/4,,India
1666,,v Pakistan,21 Mar 1992,1,Auckland,50.0,5.24,lost,262/7,,New Zealand
1667,,v New Zealand,13 Dec 1992,1,Colombo (RPS),49.0,5.34,won,262/6,,Sri Lanka
1668,,v Zimbabwe,1 Feb 1993,1,Sharjah,50.0,5.24,won,262/8,,Pakistan
1669,,v England,11 Jan 1996,1,Bloemfontein,50.0,5.24,lost,262/8,,South Africa
1670,,v South Africa,2 Nov 1997,2,Lahore,50.0,5.24,lost,262/9,,Pakistan
1671,,v Zimbabwe,18 Dec 1999,2,Harare,44.4,5.86,won,262/4,,Sri Lanka
1672,,v India,21 Jan 2000,1,Hobart,50.0,5.24,won,262/7,,Pakistan
1673,,v Zimbabwe,18 Jul 2000,1,Birmingham,50.0,5.24,won,262/8,,England
1674,,v India,14 Dec 2000,2,Rajkot,47.4,5.49,lost,262,,Zimbabwe
1675,,v Sri Lanka,20 Feb 2004,1,Dambulla,50.0,5.24,won,262/6,,Australia
1676,,v West Indies,5 May 2004,2,Bridgetown,47.2,5.53,won,262/5,,England
1677,,v Australia,21 Sep 2004,2,Birmingham,46.3,5.63,won,262/4,,England
1678,,v West Indies,7 Aug 2005,1,Colombo (RPS),50.0,5.24,won,262/4,,India
1679,,v Sri Lanka,3 Nov 2005,2,Pune,45.4,5.73,won,262/6,,India
1680,,v South Africa,2 Nov 2006,2,Jaipur,44.0,5.95,won,262/4,,West Indies
1681,,v New Zealand,6 Jan 2007,1,Auckland,50.0,5.24,won,262/6,,Sri Lanka
1682,,v Pakistan,1 Feb 2011,1,Napier,50.0,5.24,lost,262/7,,New Zealand
1683,,,,,,,,,,,
1684,,v Zimbabwe,21 Feb 2011,1,Ahmedabad,50.0,5.24,won,262/6,,Australia
1685,,v Bangladesh,3 Dec 2011,1,Dhaka,50.0,5.24,won,262/7,,Pakistan
1686,,v Bangladesh,11 Mar 2012,1,Dhaka,50.0,5.24,won,262/8,,Pakistan
1687,,v South Africa,27 Nov 2013,1,Port Elizabeth,45.0,5.82,won,262,,Pakistan
1688,,v West Indies,25 Jan 2015,1,Port Elizabeth,50.0,5.24,lost,262/8,,South Africa
1689,,v England,6 Feb 2016,1,Port Elizabeth,50.0,5.24,lost,262/7,,South Africa
1690,,v South Africa,12 Feb 2016,1,Johannesburg,47.5,5.47,lost,262,,England
1691,,v Australia,6 Dec 2016,2,Canberra,47.2,5.53,lost,262,,New Zealand
1692,,v Afghanistan,15 Mar 2017,2,Greater Noida,46.5,5.59,lost,262,,Ireland
1693,,v New Zealand,20 Jun 1983,1,Nottingham,60.0,4.35,won,261/3,,Pakistan
1694,,v England,18 Jan 1987,1,Brisbane,50.0,5.22,won,261/4,,Australia
1695,,v England,25 May 1991,2,Manchester,55.0,4.74,lost,261/8,,West Indies
1696,,v West Indies,27 Mar 1993,2,Port of Spain,43.1,6.04,won,261/3,,Pakistan
1697,,v West Indies,1 Nov 1993,2,Sharjah,49.0,5.32,won,261/5,,Pakistan
1698,,v New Zealand,20 Dec 1995,1,Wellington,50.0,5.22,won,261/4,,Pakistan
1699,,v India,17 Oct 1996,1,Hyderabad (Deccan),50.0,5.22,won,261/7,,South Africa
1700,,v India,5 Apr 1998,2,Vadodara,48.3,5.38,lost,261,,Zimbabwe
1701,,v New Zealand,21 Apr 1998,2,Sharjah,47.5,5.45,won,261/5,,Australia
1702,,v Bangladesh,25 Mar 1999,2,Dhaka,49.3,5.27,won,261/7,,Zimbabwe
1703,,v Scotland,20 May 1999,1,Chester-le-Street,50.0,5.22,won,261/6,,Pakistan
1704,,v New Zealand,11 Nov 1999,1,Gwalior,50.0,5.22,won,261/5,,India
1705,,v India,28 Jan 2000,1,Perth,50.0,5.22,won,261/8,,Pakistan
1706,,v England,7 Oct 2001,1,Harare,50.0,5.22,lost,261/8,,Zimbabwe
1707,,v Zimbabwe,31 Oct 2001,1,Sharjah,50.0,5.22,won,261/9,,Pakistan
1708,,v Kenya,17 Sep 2002,1,Colombo (SSC),50.0,5.22,won,261/6,,West Indies
1709,,v South Africa,25 Sep 2002,1,Colombo (RPS),50.0,5.22,won,261/9,,India
1710,,v Bangladesh,17 Apr 2003,1,Dhaka,50.0,5.22,won,261/5,,South Africa
1711,,v England,5 May 2004,1,Bridgetown,50.0,5.22,lost,261/6,,West Indies
1712,,v Zimbabwe,5 Dec 2004,1,Bulawayo,50.0,5.22,won,261/6,,England
1713,,v New Zealand,8 Dec 2004,1,Sydney,50.0,5.22,won,261/7,,Australia
1714,,v England,28 Jun 2005,1,Birmingham,50.0,5.22,n/r,261/9,,Australia
1715,,v India,3 Nov 2005,1,Pune,49.5,5.23,lost,261,,Sri Lanka
1716,,v Sri Lanka,24 Jun 2006,1,Chester-le-Street,50.0,5.22,lost,261/7,,England
1717,,v Bermuda,21 Aug 2006,2,Toronto,49.1,5.30,lost,261,,Canada
1718,,v Bangladesh,4 Jan 2010,2,Dhaka,44.5,5.82,won,261/3,,Sri Lanka
1719,,v Bangladesh,2 Mar 2010,2,Dhaka,48.5,5.34,won,261/8,,England
1720,,v New Zealand,13 Mar 2011,2,Mumbai,50.0,5.22,lost,261/9,,Canada
1721,,v Australia,24 Mar 2011,2,Ahmedabad,47.4,5.47,won,261/5,,India
1722,,v Zimbabwe,22 Oct 2011,2,Harare,48.2,5.40,won,261/6,,New Zealand
1723,,v Scotland,8 Mar 2013,2,Sharjah,48.4,5.36,won,261/5,,Afghanistan
1724,,v Pakistan,21 Jul 2013,1,Gros Islet,49.0,5.32,lost,261/7,,West Indies
1725,,v Pakistan,27 Nov 2013,2,Port Elizabeth,45.0,5.80,lost,261/6,,South Africa
1726,,v Kenya,30 Jan 2014,2,Christchurch,49.3,5.27,won,261/7,,Scotland
1727,,v Pakistan,8 Mar 2014,2,Dhaka,46.2,5.63,won,261/5,,Sri Lanka
1728,,v Afghanistan,22 Jul 2014,1,Bulawayo,50.0,5.22,lost,261/8,,Zimbabwe
1729,,v P.N.G.,9 Nov 2014,1,Townsville,49.3,5.27,lost,261,,Hong Kong
1730,,v Australia,7 Oct 1986,1,Rajkot,48.0,5.41,lost,260/6,,India
1731,,v Pakistan,14 Jan 1993,1,Sydney,50.0,5.20,won,260/8,,Australia
1732,,v Pakistan,1 Nov 1993,1,Sharjah,50.0,5.20,lost,260/9,,West Indies
1733,,v West Indies,7 Nov 1994,1,Visakhapatnam,44.0,5.90,won,260/4,,India
1734,,,,,,,,,,,
1735,,v West Indies,11 Mar 1995,1,Port of Spain,50.0,5.20,won,260/8,,Australia
1736,,v Australia,7 Dec 1997,1,Adelaide,50.0,5.20,lost,260/7,,New Zealand
1737,,v England,20 Aug 1998,2,Lord's,47.1,5.51,won,260/5,,Sri Lanka
1738,,v Zimbabwe,24 Oct 1998,2,Dhaka,50.0,5.20,won,260/5,,New Zealand
1739,,v Sri Lanka,13 Jan 1999,2,Sydney,46.1,5.63,won,260/2,,Australia
1740,,v West Indies,14 Oct 1999,1,Sharjah,50.0,5.20,won,260/5,,Pakistan
1741,,v Sri Lanka,18 Dec 1999,1,Harare,50.0,5.20,lost,260/4,,Zimbabwe
1742,,v Pakistan,23 Jan 2000,1,Melbourne,50.0,5.20,won,260/9,,Australia
1743,,v Australia,23 Feb 2000,2,Dunedin,45.0,5.77,lost,260,,New Zealand
1744,,v Pakistan,17 Feb 2002,1,Sharjah,50.0,5.20,won,260/5,,West Indies
1745,,v West Indies,2 Jun 2002,1,Port of Spain,50.0,5.20,won,260,,India
1746,,v England,17 Jan 2003,2,Adelaide,49.2,5.27,lost,260,,Sri Lanka
1747,,v U.A.E.,16 Jul 2004,1,Dambulla,50.0,5.20,won,260/6,,India
1748,,v New Zealand,30 Jan 2007,2,Perth,50.0,5.20,lost,260/8,,England
1749,,v Zimbabwe,4 Feb 2007,1,Harare,50.0,5.20,won,260/9,,Bangladesh
1750,,v Ireland,5 Feb 2007,1,Nairobi (Gym),46.0,5.65,won,260/7,,Netherlands
1751,,v Pakistan,15 Nov 2007,2,Gwalior,46.3,5.59,won,260/4,,India
1752,,v Bermuda,18 Aug 2008,1,King City (NW),50.0,5.20,won,260/7,,Canada
